user_id,platform,watch_time_minutes,genre,date,device,location,completion_rate,watch_category
1ad167e9-7b33-4b9f-81a2-8d75c49e6f62,Netflix,76,Biography,14-11-2024,Gaming Console,Australia,0.82,Medium
53f210fd-3224-4ac8-8552-4d63651d865c,Zee5,197,History,11-01-2024,Desktop,India,0.63,Binge
45a7b275-a9ea-42c9-bbb1-de0609b543b4,Hotstar,115,Crime,09-03-2024,Set-top Box,Mexico,0.25,Long
f359885d-ed62-4964-a9cb-8e10e7b151a2,Prime Video,297,Sport,10-07-2024,Smart TV,UK,0.2,Binge
e4204e4b-e0cf-430d-a1e2-29f38c99372f,YouTube,281,Reality,11-04-2024,Desktop,Canada,0.95,Binge
2e834c72-c6e3-4af8-b7a7-e42f31698e4b,Zee5,110,Action,27-03-2025,Desktop,Germany,0.79,Long
b831598c-4c50-475d-955a-33c63044b37b,Netflix,41,Romance,01-02-2024,Desktop,UK,0.75,Medium
8fc33892-35ff-4dad-ab81-1d00560ea654,SonyLiv,295,Documentary,20-07-2024,Gaming Console,France,0.55,Binge
7ec5f200-f857-486d-ae09-5eb0cc1d97eb,Hotstar,185,Biography,22-09-2024,Mobile,Germany,0.39,Binge
940b99b3-c4e3-4d14-895f-5957194d9193,SonyLiv,147,Drama,17-04-2024,Set-top Box,Brazil,0.74,Long
2883258c-c53d-4807-a997-45fe18a5a2aa,Zee5,118,Family,23-02-2024,Desktop,Germany,0.69,Long
4d77fb80-9470-40ec-98e0-b84ce27aa16a,YouTube,242,Biography,14-03-2025,Tablet,Italy,0.78,Binge
5c9d4dda-91fa-4f0c-835b-2ad4bd6e3d86,Netflix,98,History,03-12-2024,Gaming Console,France,0.49,Long
8c515790-23a8-4a8e-8314-0c8cef5531e8,Prime Video,264,Animation,08-07-2024,Gaming Console,India,0.99,Binge
dc54b936-c18e-4210-a5b7-91f286dcc266,Hotstar,111,Reality,26-08-2024,Desktop,UK,0.25,Long
b0243be7-3012-4644-bc9c-2b10e2434ee6,Zee5,248,Thriller,14-03-2025,Tablet,UK,0.26,Binge
d3554e97-c045-415c-86e4-ab68dbfff0bb,Zee5,27,Thriller,08-12-2024,Smart TV,South Korea,0.93,Short
61e81f1f-214c-4fe7-abe9-538a1d23620f,Zee5,275,Adventure,03-12-2024,Gaming Console,South Korea,0.72,Binge
ad0e0f0e-881e-4d41-96a8-c98728dee397,Zee5,144,Fantasy,17-10-2024,Desktop,UK,0.46,Long
ed19160b-508e-42d8-a931-e16031f0de66,Netflix,86,Horror,18-11-2024,Set-top Box,Australia,0.81,Medium
7629ed45-3881-4e2e-a457-7c6bd4903536,Prime Video,160,Action,16-11-2024,Desktop,Japan,0.56,Long
d7b0e915-1539-4f36-9baa-6a4717acdc36,YouTube,23,Adventure,29-09-2024,Set-top Box,Mexico,0.22,Short
84ce2cfb-0212-47a7-a28c-1b8129815835,Hotstar,73,Horror,11-02-2024,Set-top Box,UAE,0.72,Medium
b7e305de-ffb1-4a13-b63e-dcd29d1dbdc9,Zee5,136,Mystery,18-03-2025,Mobile,Australia,0.39,Long
75635b7c-0bd7-4be2-9071-d1ad7b9efd9b,SonyLiv,260,Comedy,16-07-2024,Mobile,Germany,0.29,Binge
259f47d3-73c8-417f-888b-adcdce53138d,Zee5,213,Comedy,11-01-2025,Smart TV,UAE,0.38,Binge
2eaa032f-b99c-45ac-8de4-0aa77a67747f,Prime Video,14,Drama,30-04-2024,Smart TV,India,0.58,Short
04d7b891-b296-45cd-aa52-48fca6f1426c,Prime Video,144,Mystery,29-01-2025,Set-top Box,USA,0.24,Long
80fbf3e0-67e1-4a02-9c31-006a21c050b5,Netflix,139,Documentary,29-11-2024,Smart TV,South Africa,0.91,Long
0e0b29e1-1a2d-4dbe-b095-a0920beeff21,Netflix,259,Horror,10-10-2024,Smart TV,India,0.65,Binge
aa0928d6-f79d-4b06-9780-9adcacca4e74,SonyLiv,262,Action,21-10-2024,Desktop,UAE,0.43,Binge
e5275769-0fab-4fa7-a5c5-44efc481ef94,SonyLiv,98,Documentary,30-06-2024,Desktop,Australia,0.75,Long
6ee2b5e4-71cf-462e-809d-d1ad2d8a8722,Netflix,245,Animation,09-04-2024,Desktop,UK,0.84,Binge
89dfae5c-2af8-482a-895d-8e1054e2cfab,Hotstar,241,Sport,11-01-2024,Tablet,UAE,0.69,Binge
52639a6f-4a49-4fb9-bed0-14a204cdc143,SonyLiv,169,Documentary,05-01-2025,Set-top Box,Mexico,0.36,Long
7c9f6e4c-9791-4d68-a50c-0894d04c8fc2,Netflix,152,Biography,20-08-2024,Smart TV,Germany,0.29,Long
1554f724-bb71-48e6-b8e7-e8400815ae75,Zee5,222,Biography,17-03-2025,Tablet,Australia,0.89,Binge
7966fa5c-a91c-4549-bea0-892f70e93092,Netflix,112,Family,26-04-2024,Gaming Console,Germany,0.39,Long
43df3cb9-e20a-47a5-b9bd-4ae34ecb4458,Hotstar,235,Sci-Fi,27-02-2025,Set-top Box,UK,0.22,Binge
47e2fb34-d618-4b61-8bd3-2dffa0c94e62,Netflix,74,Crime,22-01-2025,Gaming Console,USA,0.71,Medium
2cc7c9b8-a283-43e0-9072-3b61375d0c43,Netflix,225,Animation,04-03-2024,Desktop,USA,0.32,Binge
5df5281c-0239-49f2-acc7-619d20b3496d,Zee5,78,Adventure,24-06-2024,Gaming Console,UAE,0.99,Medium
77c6d3e0-f699-4e19-a0f4-2daa2cfbe0ad,SonyLiv,183,Mystery,29-03-2025,Desktop,USA,0.9,Binge
c0ea071c-c955-4125-a749-4033f9f9d197,Zee5,84,Thriller,23-03-2024,Set-top Box,South Korea,0.69,Medium
973be56a-e425-4081-b71a-dca813afc4a2,Zee5,163,Mystery,18-02-2025,Set-top Box,Canada,0.87,Long
5e08ef4c-3588-4544-bb78-be8b5e1b3de1,Netflix,173,Animation,02-01-2024,Smart TV,Canada,0.58,Long
238a3269-1f91-40c5-a2cd-69ad066972a7,Zee5,165,Horror,25-10-2024,Tablet,UAE,0.83,Long
7afbc081-25cb-4894-9df4-56b8aaed708d,Prime Video,36,History,04-08-2024,Desktop,UK,0.72,Medium
b7f599a0-126b-4a57-ab89-af2a0dc32c08,YouTube,125,Animation,29-08-2024,Mobile,France,0.22,Long
f7e4672b-ae3b-4d2d-8e8e-bfa9dcc51036,YouTube,219,Horror,23-10-2024,Mobile,Spain,0.96,Binge
5fe4f064-9436-448e-8454-e5f952731565,Zee5,7,Horror,29-02-2024,Smart TV,Canada,0.89,Short
8c2374da-c247-4cac-9f4f-198024b712f7,SonyLiv,232,Thriller,02-01-2025,Tablet,France,0.96,Binge
6aa6219d-e74b-4799-a3f2-5fe22de4ded6,Hotstar,52,Mystery,21-07-2024,Desktop,South Africa,0.79,Medium
b4287bd1-9f58-48d6-a768-f676b0cd498d,Zee5,171,Action,05-03-2025,Smart TV,UK,0.53,Long
2454e026-ad62-47c3-98cd-c02495f8f1d1,SonyLiv,15,Music,09-02-2024,Tablet,South Africa,0.37,Short
cf0dfa50-30f2-4fc6-8f8b-2ebbd5123a54,Zee5,242,Family,10-11-2024,Mobile,Spain,0.34,Binge
84fb12b7-add1-4344-86b7-11b2c679c9c3,Netflix,282,Family,14-02-2024,Desktop,UAE,0.32,Binge
f45ff3c0-8fff-4d77-b112-9ea907c08792,SonyLiv,245,Biography,24-10-2024,Tablet,USA,0.38,Binge
944d5649-d1b5-4969-9c9b-09f26d94c25c,Hotstar,196,Crime,28-04-2024,Gaming Console,Italy,0.64,Binge
048dcbf5-231f-4086-be63-2cafe2b70ee2,Zee5,16,Animation,08-02-2025,Desktop,France,0.75,Short
1f0809be-68b2-4905-aee7-2ba0bd1ef610,Prime Video,57,Sci-Fi,10-05-2024,Gaming Console,Australia,0.45,Medium
9cf60277-3b95-48b8-a1d8-01b533a6e40c,SonyLiv,59,Crime,25-03-2025,Set-top Box,Spain,0.64,Medium
84b5b159-69ff-47b2-a7d0-f726badf1667,YouTube,25,Fantasy,29-01-2025,Set-top Box,USA,0.47,Short
8ed720ff-ec9e-44e2-9636-2b66ad31903e,SonyLiv,23,Mystery,06-10-2024,Set-top Box,Brazil,0.76,Short
1ecf6e78-96c9-484b-9ecf-3bf7f544cd1d,Prime Video,63,Sci-Fi,19-02-2024,Smart TV,UAE,0.99,Medium
de89a943-2c51-47f1-b1f2-4ae95b9e78cc,Prime Video,155,Sport,28-03-2024,Tablet,South Korea,0.75,Long
9d28af7e-3c24-478d-aad3-bbe72cf1ba85,Prime Video,263,Sport,21-01-2024,Set-top Box,Brazil,0.25,Binge
de51c714-9a5a-446f-b6cf-58125528c3f9,Hotstar,62,Mystery,12-02-2025,Tablet,Canada,0.58,Medium
999c336c-ad13-41a5-ad7b-9158b36c7ecf,Hotstar,220,Horror,22-01-2025,Tablet,France,0.82,Binge
d095a1fb-a9f9-4e96-835b-725effbc8c01,SonyLiv,66,Romance,19-08-2024,Tablet,Spain,0.63,Medium
48abcadc-28c2-4c88-a5b4-1e8d035f81d8,Hotstar,150,Drama,15-01-2025,Desktop,UK,0.96,Long
dd8910fe-6153-4a99-b6f2-76b12c21ed5d,YouTube,243,Romance,12-02-2024,Gaming Console,Mexico,0.24,Binge
5ef618c3-5639-49f2-9a3d-389885c8b19d,Netflix,297,Documentary,06-03-2025,Gaming Console,Japan,0.43,Binge
8b9cfdab-38f7-4ba5-b454-66234f990411,SonyLiv,186,Fantasy,23-01-2024,Smart TV,Spain,0.38,Binge
a8249b4a-2b80-4fc7-8257-a4b14ed14eb8,Zee5,99,Comedy,19-03-2025,Set-top Box,Italy,0.81,Long
a05f12ea-0bf7-432d-a888-4baf2ae770b2,Zee5,82,Thriller,03-08-2024,Smart TV,Spain,0.62,Medium
724d14bf-9c2f-48f6-a54b-07400311061f,SonyLiv,146,Comedy,03-10-2024,Tablet,UAE,0.31,Long
ed768370-95b6-4d57-970e-47cd576eeeba,Netflix,109,Adventure,12-07-2024,Mobile,South Africa,0.43,Long
f94f9d14-d300-4c64-8586-3b7b349e57c8,Zee5,265,Fantasy,02-08-2024,Mobile,Germany,0.62,Binge
cf69a76a-47ae-4ed0-abed-637c24e76d63,SonyLiv,99,Comedy,27-06-2024,Tablet,UK,1,Long
71dabc05-dc3d-452a-90a3-7384aefe2a43,SonyLiv,227,Horror,22-05-2024,Set-top Box,Japan,0.49,Binge
059d1232-93b3-43b9-847d-e6c2c67c4577,Prime Video,194,Crime,09-11-2024,Gaming Console,Italy,0.33,Binge
98d58c80-fa2d-4468-bbf3-7dfb1b1deb68,YouTube,133,Documentary,26-01-2024,Smart TV,USA,0.6,Long
75835c62-a635-4d1a-b7d3-198417e183bb,Zee5,199,Comedy,05-08-2024,Desktop,USA,0.45,Binge
af3b870b-613e-438b-943c-f70fbf75293d,YouTube,24,Crime,28-02-2024,Mobile,UK,0.65,Short
